"","FC","log2(FC)","raw.pval","-log10(p)"
"Mannose",0.25775,-1.956,9.6754e-06,5.0143
"d-Galactitol",0.22369,-2.1604,3.3377e-05,4.4766
"d-Sorbitol",0.43016,-1.2171,0.0012857,2.8909
"d-Fructose",0.37018,-1.4337,0.0015522,2.809
"Lactic acid",1.447,0.53311,0.0058441,2.2333
"Sedoheptulose",0.28352,-1.8185,0.0091937,2.0365
"4-hydroxyPhenyllactic acid",0.49828,-1.005,0.0097193,2.0124
"d-Gluconic acid",0.31213,-1.6798,0.010916,1.9619
"Glyceric acid",0.32585,-1.6177,0.016225,1.7898
"Hypoxanthine",0.51643,-0.95335,0.018191,1.7401
"Phenylalanine",0.37202,-1.4265,0.030118,1.5212
"d-Xylitol",0.53571,-0.90046,0.032518,1.4879
"Glutamine",0.39211,-1.3507,0.036713,1.4352
"Glycerol-1-phosphate",0.57498,-0.79842,0.038151,1.4185
"Aspartic",0.66462,-0.58939,0.041768,1.3792
"d-Mannitol",0.6467,-0.62883,0.047337,1.3248
"myo-Inositol",0.52806,-0.92123,0.048613,1.3132
"Glycerol",0.75516,-0.40515,0.049173,1.3083
