"","C1","C2","C3","C4","C5","P2","P3","P5","P6","P7","P8","P9"
"Label","Control","Control","Control","Control","Control","GRIN","GRIN","GRIN","GRIN","GRIN","GRIN","GRIN"
"Pyruvic acid"," 0.8361265"," 0.4733212"," 0.8523206","-1.0808969"," 0.5631150"," 0.5778418"," 0.2855426"," 0.7690772","-0.8270235","-1.6584540"," 0.8516720","-1.6426425"
"Lactic acid","-1.14057631","-1.12797536"," 0.32963318","-0.23992943"," 2.02648856"," 1.25357164","-0.50627726"," 0.92750280","-0.78646340"," 0.20830373","-0.04898926","-0.89528889"
"2-Hydroxyisobutyric acid"," 1.3472261"," 1.6777231","-0.7220698"," 0.2839017","-0.8238358","-0.5662894","-1.2526017"," 0.5217884"," 1.3444511","-0.4990258","-0.7307733","-0.5804946"
"Glycolic acid","-0.4342892"," 2.3338934","-0.9792243"," 0.4516997","-0.7648017"," 0.4393417","-0.7293009","-0.6340216"," 1.1761274"," 0.3716375","-0.2911324","-0.9399296"
"Alanine"," 1.41556805"," 0.71511693","-0.19962816"," 0.73366750","-0.59606452","-0.51439645","-1.32234497"," 0.77781922","-0.34631735","-0.05387836"," 1.21584582","-1.82538770"
"2-HydroxyButyric acid"," 1.100808627","-0.353105296"," 1.631325427"," 0.587130497","-0.423041026","-0.021348100"," 0.008276179","-2.261917208"," 0.801316956"," 0.115939036","-0.549593165","-0.635791926"
"3-hydroxybutyric acid/3-hydroxyisobutyric acid","-0.26634484","-0.27061173"," 1.80753544"," 1.10397188"," 0.96597023","-1.25326839","-0.50485024","-1.19065632"," 1.02384262","-0.70237203","-0.80250960"," 0.08929299"
"2-Hydroxyisovaleric acid","-0.97945959"," 2.04806152"," 1.09312631","-0.94244877","-0.23212309"," 0.19517117","-0.07876276","-1.82927564","-0.14183343"," 0.35599724"," 0.39869184"," 0.11285521"
"3-Hydroxyisovaleric acid","-0.41789893"," 2.08707885"," 0.67409857"," 1.10692203","-0.44459471"," 0.05736405","-0.57365996","-0.77230021"," 0.51237128"," 0.14120143","-0.65097109","-1.71961132"
"Valine","-0.2936727"," 1.1073290","-1.2146762"," 1.5143273","-0.4739996","-0.4120767"," 0.1948540","-1.6342280"," 0.9559568","-0.1267714"," 1.1434632","-0.7605057"
"Urea","-0.88523695","-1.27379322"," 0.05950731","-2.14922742"," 0.35242992"," 0.81135068"," 0.72785908","-0.38936696"," 0.22280430"," 0.88264657"," 1.22795260"," 0.41307409"
"Ethanolamine"," 0.18003301"," 2.18361163","-1.10431614","-0.86537576","-1.35135083"," 0.44367168"," 0.85861383","-1.01239576","-0.22219055"," 0.56665733"," 0.26930628"," 0.05373528"
"Leucine","-0.1470197"," 1.5737202","-0.5385015"," 1.7931016","-0.1342890","-0.7661974","-0.3737589","-1.2096493"," 0.2316799","-0.2876228"," 1.0786477","-1.2201108"
"Glycerol"," 1.36504460","-0.02202768","-1.17256117"," 0.15469343"," 0.93893383"," 0.08166748","-2.06832523","-1.14666535"," 0.50446746"," 0.33438495"," 0.93893383"," 0.09145384"
"Isoleucine","-0.4133912"," 1.5704992","-1.1398482"," 1.0660226","-1.1237693","-0.4571696"," 0.3138293","-1.0525455"," 1.0071638","-0.0860169"," 1.2010011","-0.8857752"
"Proline"," 0.85312046"," 1.71563685","-1.38057859"," 0.78673353","-0.81583468","-0.44602136"," 0.86609567"," 0.01354307"," 0.58593147"," 0.13639508","-0.88601417","-1.42900734"
"Glycine","-0.09840643"," 1.45965093","-0.82799107"," 2.57877022","-0.23386855","-0.01692277","-0.71694782","-0.43843608","-0.39363961","-0.39733547","-0.58306465","-0.33180870"
"Glyceric acid"," 0.35673823"," 0.52516747"," 0.02184026"," 1.67071773","-0.05127360","-0.39451134","-0.99342165","-0.38763707"," 1.98228139","-1.01276368","-0.65815155","-1.05898618"
"Uracil","-2.42800316"," 1.18567418"," 0.08331437"," 1.02087756"," 0.28830584","-0.35934278","-0.85416379","-0.35934278"," 0.84935448"," 0.08331437","-0.35934278"," 0.84935448"
"Serine"," 0.6591567"," 2.2909987","-0.7212345"," 0.8056967","-0.4901817"," 0.2967967","-0.4168290"," 0.7286504","-0.1093739","-1.0435550","-0.9186782","-1.0814470"
"Threonine"," 0.34988005"," 1.15433544","-1.82812520","-0.06768025","-1.98577709"," 0.03378241"," 0.29592102"," 0.06433270"," 1.13916064"," 0.55457749"," 0.65230809","-0.36271530"
"Malic acid"," 1.13333967"," 1.81549711"," 0.35567846","-0.26858515"," 1.49449589","-0.26858515","-0.81772334"," 0.03034132","-0.48046864","-0.94883100","-1.13016648","-0.91499269"
"d-Threitol"," 0.36008519"," 1.61176330","-0.37028873"," 0.98339311","-0.93364275"," 0.19992037","-1.31542553","-1.08263011"," 0.78473012"," 1.09549157","-0.09686655","-1.23653001"
"Oxoproline","-0.21473135"," 0.25313780","-1.24454555"," 2.43480000"," 0.69321232","-0.02398596","-1.16214916"," 0.06483683"," 0.81222114","-0.52509683","-0.38608522","-0.70161401"
"Aspartic","-0.3153598"," 0.8981731","-1.8991931"," 1.7977083"," 0.1847120"," 0.2495636","-0.8646212","-0.1744788"," 1.3040798","-0.1282969","-0.2916316","-0.7606557"
"4-Hydroxyproline"," 1.3241891"," 1.7020597","-0.8397867"," 0.6549782","-0.7006083","-0.4978696","-1.3084331"," 0.3281196"," 0.7983492"," 0.3083573","-0.4609225","-1.3084331"
"Threonic acid","-0.26506152"," 0.60925264","-0.25943218","-1.11324903","-1.76951056"," 1.21450048","-0.14720718","-0.85421412"," 1.44295843"," 1.32183653"," 0.06632635","-0.24619984"
"a-ketoglutaric acid"," 1.5625252"," 1.3776997"," 0.3768031","-0.7420281"," 1.3597573","-0.4251644","-0.4565874"," 0.3190274","-0.3354585","-1.4948702","-0.5560011","-0.9857030"
"Glutamic acid"," 1.20637328"," 1.82848014","-0.30106325"," 0.45970610","-0.46134815"," 0.13590645","-1.11797591","-1.24556797"," 1.17418763"," 0.04445924","-0.83508802","-0.88806955"
"Phenylalanine"," 0.2383020"," 1.0832235"," 0.1158630"," 2.3601885"," 0.8318967","-0.8841424","-1.0016410","-0.6532113","-0.5582270","-0.7638367","-0.1698476","-0.5985677"
"d-Xylitol"," 1.0477123"," 1.0477123","-0.4451099"," 1.3929829","-0.1232565","-0.4451099","-1.7918505","-0.4451099"," 1.0477123"," 0.4148188","-0.4451099","-1.2553921"
"d-Arabitol"," 0.5175182"," 1.0697842","-0.5332269"," 0.1247996","-1.3476080"," 0.7878214","-0.5611336","-0.6237861"," 1.5775772"," 1.1389694","-1.2308424","-0.9198730"
"Glycerol-1-phosphate"," 1.24251471"," 1.12404370","-0.29552572"," 0.03855458"," 1.67739303","-0.06998259","-1.62127855","-0.61825321","-1.22767154","-0.39799700"," 0.62089829","-0.47269571"
"Glutamine"," 0.1232834"," 1.7573461","-1.2514668"," 1.5074627"," 0.4314810","-1.1805959","-0.8035622","-0.2119207"," 0.5125618"," 0.3970129","-0.1184380","-1.1631644"
"Xylonic acid","-0.1192127"," 1.1578559","-0.6217807"," 0.3169983","-1.3992354"," 0.7310503","-1.0485838","-0.9945301"," 1.7075369"," 1.1346206","-0.4216170","-0.4431023"
"Ribonic acid"," 0.75513758"," 0.94300519","-0.58191737","-0.30216837","-1.24083746"," 0.68307888","-1.37200113","-1.15856206"," 1.38130471"," 1.34570197","-0.39702161","-0.05572034"
"Hypoxanthine"," 1.3771034"," 1.4145794"," 0.2282574"," 1.2196254"," 0.3594602","-0.7099356","-0.6035839","-0.4067104"," 0.5982186","-1.2042351","-1.2042351","-1.0685442"
"Ornithine","-0.91003607"," 2.23010922","-1.29492802"," 1.10817659"," 0.06780241","-0.54138442"," 0.03212461"," 0.21960188"," 0.31984680"," 0.08347187"," 0.04010413","-1.35488900"
"Citric acid"," 0.9785501"," 0.1577955"," 0.5449746"," 0.1305883","-0.1188592","-0.9648410","-2.0299423","-1.2141773"," 1.0980629"," 0.4677013"," 1.2774685","-0.3273213"
"4-hydroxyPhenyllactic acid"," 0.48917627"," 0.68209308","-0.46954820","-1.54748973","-0.66958166"," 0.09554743"," 0.32869843"," 2.46206397"," 0.29860648","-0.66958166","-0.41197174","-0.58801268"
"d-Fructose"," 0.1896004"," 1.0565658"," 1.0130853"," 0.3892301"," 0.7879693","-0.7920099","-1.3466533"," 0.2455984","-1.9531701"," 0.4662782"," 0.8418175","-0.8983116"
"Mannose"," 1.0325665"," 1.1856493"," 0.8879702"," 1.1064632"," 0.9070730","-1.1657643","-0.5948153","-1.3635532","-1.0493992","-0.1159325"," 0.1597959","-0.9900536"
"Galactose","-1.6901502","-1.5212964","-0.3793821","-0.3919898"," 1.0013782"," 1.8565442","-0.2481729"," 0.2639558"," 0.8144030"," 0.3179976","-0.3166353"," 0.2933481"
"Glucose","-1.5309251","-0.7095982","-0.9003357"," 0.3090651"," 1.7177058"," 1.8297289","-0.6958887","-0.1882896","-0.1230816"," 0.3123386"," 0.3868549","-0.4075746"
"d-Mannitol","-0.19160588"," 1.17130952","-0.45280823"," 0.86693364","-1.00813474"," 0.48146151","-1.18883918","-0.99458010"," 0.97379744"," 1.60762712","-0.06206312","-1.20309796"
"d-Sorbitol"," 0.2477238"," 1.7161663"," 1.0148355"," 1.3840966"," 0.7205680","-0.9446093","-0.6921324","-0.9582722","-0.3170736","-0.1095256","-1.0527927","-1.0089845"
"d-Galactitol"," 0.9918851"," 1.3383812"," 0.9918851"," 0.6384211"," 1.3541660","-0.6457743","-0.2089335","-0.6016856","-1.1533866","-1.3361626","-0.4348170","-0.9339788"
"d-Gluconic acid"," 1.0574979"," 1.4066597"," 0.6403685"," 0.6016573","-1.1799033","-0.3088568","-0.4316519","-1.2713281"," 1.2964591"," 0.2177556","-1.1799033","-0.8487549"
"Saccharic acid","-0.3112067"," 0.4772925","-0.1668121"," 2.0631588","-1.2777751","-0.2504265","-0.7961860","-0.1358683"," 1.7943183","-0.1543570","-0.7398950","-0.5022429"
"myo-Inositol"," 0.7562127"," 0.7866903","-0.3911663"," 1.4674926","-0.9132756","-0.1718764","-0.5386927"," 0.3862742"," 1.6595541","-0.7071983","-1.4999053","-0.8341094"
"Uric acid","-1.03410922","-0.52406082","-0.37507387"," 0.02041226"," 0.46250795"," 0.32025607","-1.54979214"," 1.10932885"," 0.80758145"," 1.42273418"," 0.82594485","-1.48572957"
"Sedoheptulose"," 0.5267024"," 2.3115262"," 0.4991064","-0.1095481","-0.3877527","-0.9729867","-1.0887593","-0.1095481"," 0.9247615","-0.3877527"," 0.1358473","-1.3415960"
