"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"Kynurenic acid","Kynurenic acid","HMDB0000715","3845","18344","C01717","5683","OC(=O)C1=CC(=O)C2=CC=CC=C2N1","1"
"Indole-3-propionic","NA","NA","NA","NA","NA","NA","NA","0"
"3-hydroxybutyric acid","3-Hydroxybutyric acid","HMDB0000357","441","20067","C01089","125","CC(O)CC(O)=O","1"
"Kynurenine","L-Kynurenine","HMDB0000684","161166","16946","C00328","72","N[C@@H](CC(=O)C1=CC=CC=C1N)C(O)=O","1"
"5-Hydroxyindole-3-acetic acid","5-Hydroxyindoleacetic acid","HMDB0000763","1826","27823","C05635","2975","OC(=O)CC1=CNC2=C1C=C(O)C=C2","1"
"a-ketoglutaric acid","Oxoglutaric acid","HMDB0000208","51","30915","C00026","5218","OC(=O)CCC(=O)C(O)=O","1"
"2-Hydroxyisobutyric acid","Alpha-Hydroxyisobutyric acid","HMDB0000729","11671","50129",NA,"3750","CC(C)(O)C(=O)O","1"
"Malic acid","Malic acid","HMDB0000744","525","6650","C03668","118","OC(CC(O)=O)C(O)=O","1"
"d-Galactitol","Galactitol","HMDB0000107","11850","16813","C01697","5148","OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO","1"
"Phenylalanine","L-Phenylalanine","HMDB0000159","6140","17295","C00079","28","N[C@@H](CC1=CC=CC=C1)C(O)=O","1"
"Trigonelline","Trigonelline","HMDB0000875","5570","18123","C01004","273","C[N+]1=CC=CC(=C1)C([O-])=O","1"
"4-Hydroxyproline","4-Hydroxyproline","HMDB0000725","5810","18095","C01157","257","O[C@H]1CN[C@@H](C1)C(O)=O","1"
"Hypoxanthine","Hypoxanthine","HMDB0000157","790","17368","C00262","83","OC1=NC=NC2=C1NC=N2","1"
"Cortisol","Cortisol","HMDB0000063","657311",NA,"C00735","5124","C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@]4(C(=O)CO)O)C)O","1"
"Mannose","D-Mannose","HMDB0000169","18950","4208","C00936",NA,"OC[C@H]1O[C@H](O)[C@@H](O)[C@@H](O)[C@@H]1O","1"
"glutarylcarnitine","Glutarylcarnitine","HMDB0013130","71317118","82952",NA,NA,"C[N+](C)(C)C[C@@H](CC(=O)[O-])OC(=O)CCCC(=O)O","1"
"Glyceric acid","Glyceric acid","HMDB0000139","439194","32398","C00258","280","OC[C@@H](O)C(O)=O","1"
"d-Sorbitol","Sorbitol","HMDB0000247","5780","17924","C00794","143","OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO","1"
"C14:2 (Carn)","NA","NA","NA","NA","NA","NA","NA","0"
"d-Gluconic acid","Gluconic acid","HMDB0000625","10690","33198","C00257","345","OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O","1"
"Sedoheptulose","Sedoheptulose","HMDB0003219","441483","27520","C08355","3344","OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@H](O)[C@@H]1O","1"
"Saccharic acid","Glucaric acid","HMDB0000663","33037","16002","C00818","5633","O=C(O)(O)(O)(O)(O)C(=O)O","1"
"L-propionylcarnitine","Propionylcarnitine","HMDB0000824","107738","28867","C03017","5787","CCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C","1"
"3-hydroxyisovaleryl-acylcarnitine","NA","NA","NA","NA","NA","NA","NA","0"
"3-Hydroxyanthranilic acid","3-Hydroxyanthranilic acid","HMDB0001476","86","15793","C00632","3275","NC1=C(O)C=CC=C1C(O)=O","1"
"myo-Inositol","myo-Inositol","HMDB0000211",NA,"17268","C00137","5221","O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O","1"
"d-Fructose","D-Fructose","HMDB0000660","439709","28645","C02336","135","OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O","1"
"Leucine","L-Leucine","HMDB0000687","6106","15603","C00123","24","CC(C)C[C@H](N)C(O)=O","1"
"d-Xylitol","Xylitol","HMDB0002917","6912","17151","C00379",NA,"OC[C@H](O)[C@@H](O)[C@H](O)CO","1"
"4-hydroxyPhenyllactic acid","Hydroxyphenyllactic acid","HMDB0000755","9378","17385","C03672","5723","OC(CC1=CC=C(O)C=C1)C(O)=O","1"
"Galactose","D-Galactose","HMDB0000143","439357","28061","C00984","134","OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O","1"
"Glycerol","Glycerol","HMDB0000131","753","17754","C00116","105","OCC(O)CO","1"
