"","variable",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"1","L-Citrulline","value","F","M",18,6,38,0.31,0.918,"ns"
"2","Trigonelline","value","F","M",18,6,45,0.581,0.967454545454545,"ns"
"3","2-Picolinic acid","value","F","M",18,6,31,0.137,0.751777777777778,"ns"
"4","Kynurenine","value","F","M",18,6,59,0.77,0.96962962962963,"ns"
"5","3-Hydroxyanthranilic acid","value","F","M",18,6,59,0.77,0.96962962962963,"ns"
"6","Tryptophan","value","F","M",18,6,28,0.0895,0.751777777777778,"ns"
"7","Anthranilic acid","value","F","M",18,6,68,0.378,0.918,"ns"
"8","5-Hydroxyindole-3-acetic acid","value","F","M",18,6,59,0.77,0.96962962962963,"ns"
"9","N-Acetyl-5-hydroxytryptamine","value","F","M",18,6,43,0.494,0.933111111111111,"ns"
"10","Kynurenic acid","value","F","M",18,6,80,0.0895,0.751777777777778,"ns"
"11","Indole-3-acetic acid","value","F","M",18,6,79,0.104,0.751777777777778,"ns"
"12","Indole-3-propionic acid","value","F","M",18,6,52,0.923,0.9806875,"ns"
"13","Cortisol","value","F","M",18,6,62,0.626,0.967454545454545,"ns"
"14","Androstenedione","value","F","M",18,6,62,0.626,0.967454545454545,"ns"
"15","Testosterone","value","F","M",18,6,74,0.199,0.751777777777778,"ns"
"16","Progesterone","value","F","M",18,6,62,0.626,0.967454545454545,"ns"
"17","Pyruvic acid","value","F","M",18,6,68,0.378,0.918,"ns"
"18","Lactic acid","value","F","M",18,6,74,0.199,0.751777777777778,"ns"
"19","2-Hydroxyisobutyric acid","value","F","M",18,6,68,0.378,0.918,"ns"
"20","Glycolic acid","value","F","M",18,6,77,0.137,0.751777777777778,"ns"
"21","Alanine","value","F","M",18,6,57,0.871,0.9806875,"ns"
"22","2-HydroxyButyric acid","value","F","M",18,6,42,0.454,0.933111111111111,"ns"
"23","3-hydroxybutyric acid","value","F","M",18,6,44,0.537,0.960947368421053,"ns"
"24","2-Hydroxyisovaleric acid","value","F","M",18,6,76,0.156,0.751777777777778,"ns"
"25","3-Hydroxyisovaleric acid","value","F","M",18,6,54,1,1,"ns"
"26","Valine","value","F","M",18,6,28,0.0895,0.751777777777778,"ns"
"27","Urea","value","F","M",18,6,43,0.494,0.933111111111111,"ns"
"28","Ethanolamine","value","F","M",18,6,58,0.82,0.9806875,"ns"
"29","Leucine","value","F","M",18,6,20,0.0224,0.751777777777778,"ns"
"30","Glycerol","value","F","M",18,6,48,0.721,0.96962962962963,"ns"
"31","Isoleucine","value","F","M",18,6,32,0.156,0.751777777777778,"ns"
"32","Proline","value","F","M",18,6,52,0.92,0.9806875,"ns"
"33","Glycine","value","F","M",18,6,74,0.199,0.751777777777778,"ns"
"34","Glyceric acid","value","F","M",18,6,79,0.104,0.751777777777778,"ns"
"35","Uracil","value","F","M",18,6,72,0.251,0.8534,"ns"
"36","Serine","value","F","M",18,6,45,0.581,0.967454545454545,"ns"
"37","Threonine","value","F","M",18,6,44,0.537,0.960947368421053,"ns"
"38","Malic acid","value","F","M",18,6,69,0.343,0.918,"ns"
"39","d-Threitol","value","F","M",18,6,54,1,1,"ns"
"40","Oxoproline","value","F","M",18,6,67,0.415,0.933111111111111,"ns"
"41","Aspartic acid","value","F","M",18,6,61,0.664,0.96962962962963,"ns"
"42","4-Hydroxyproline","value","F","M",18,6,68,0.378,0.918,"ns"
"43","Threonic acid","value","F","M",18,6,56,0.923,0.9806875,"ns"
"44","a-ketoglutaric acid","value","F","M",18,6,72,0.251,0.8534,"ns"
"45","Glutamic acid","value","F","M",18,6,80,0.0895,0.751777777777778,"ns"
"46","Phenylalanine","value","F","M",18,6,34,0.199,0.751777777777778,"ns"
"47","d-Xylitol","value","F","M",18,6,60,0.714,0.96962962962963,"ns"
"48","d-Arabitol","value","F","M",18,6,56,0.923,0.9806875,"ns"
"49","Glycerol-1-phosphate","value","F","M",18,6,58,0.82,0.9806875,"ns"
"50","Glutamine","value","F","M",18,6,59,0.77,0.96962962962963,"ns"
"51","Xylonic acid","value","F","M",18,6,65,0.484,0.933111111111111,"ns"
"52","Ribonic acid","value","F","M",18,6,66,0.454,0.933111111111111,"ns"
"53","Hypoxanthine","value","F","M",18,6,76,0.156,0.751777777777778,"ns"
"54","Ornithine","value","F","M",18,6,47,0.673,0.96962962962963,"ns"
"55","Citric acid","value","F","M",18,6,61,0.673,0.96962962962963,"ns"
"56","4-hydroxyphenyllactic acid","value","F","M",18,6,28,0.0891,0.751777777777778,"ns"
"57","d-Fructose","value","F","M",18,6,51,0.871,0.9806875,"ns"
"58","Mannose","value","F","M",18,6,48,0.721,0.96962962962963,"ns"
"59","Galactose","value","F","M",18,6,70,0.31,0.918,"ns"
"60","Glucose","value","F","M",18,6,83,0.0559,0.751777777777778,"ns"
"61","d-Mannitol","value","F","M",18,6,55,0.974,1,"ns"
"62","d-Sorbitol","value","F","M",18,6,46,0.626,0.967454545454545,"ns"
"63","d-Galactitol","value","F","M",18,6,53,0.974,1,"ns"
"64","d-Gluconic acid","value","F","M",18,6,41.5,0.424,0.933111111111111,"ns"
"65","Saccharic acid","value","F","M",18,6,43,0.484,0.933111111111111,"ns"
"66","myo-Inositol","value","F","M",18,6,40,0.378,0.918,"ns"
"67","Uric acid","value","F","M",18,6,57,0.871,0.9806875,"ns"
"68","Sedoheptulose","value","F","M",18,6,51.5,0.894,0.9806875,"ns"
